subsort	supersort	rule_name	provenance
Writer	Human	writer-is-human	local:ontology-tree
LiteraryWork	Readable	literary-work-is-readable	local:ontology-tree
Institution	Agent	institution-is-agent	local:ontology-tree
Institution	Organization	institution-is-organization	local:ontology-tree
Human	Animate	human-is-animate	local:ontology-tree
HumanGroup	Organization	human-group-is-organization	local:ontology-tree
MusicalWork	Audible	musical-work-is-audible	local:ontology-tree
Film	Watchable	film-is-watchable	local:ontology-tree
Food	Edible	food-is-edible	local:ontology-tree
Clothing	Wearable	clothing-is-wearable	local:ontology-tree
