action_id	lemma	verbnet_key	class_id	wordnet_senses_json	propbank_groupings_json	framenet_frames_json	provenance
vn34:weekend-56:3fdd45ad79320eb4	December	December#1	weekend-56	[]	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:weekend-56
vn34:send-11.1-1:8f20128320aab5c8	FedEx	FedEx#1	send-11.1-1	[]	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:send-11.1-1
vn34:send-11.1-1:58407f39d94930f1	UPS	UPS#1	send-11.1-1	[]	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:send-11.1-1
vn34:leave-51.2:3bc1cd6b2214850f	abandon	abandon#1	leave-51.2	"[""abandon%2:38:00"",""abandon%2:40:00""]"	"[""abandon.01""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:leave-51.2
vn34:remedy-45.7:97e8e734542caab0	abase	abase#1	remedy-45.7	[]	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:remedy-45.7
vn34:amuse-31.1:ece41f628760841e	abash	abash#1	amuse-31.1	"[""abash%2:37:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:amuse-31.1
vn34:other_cos-45.4:e2b264e98a68a56c	abate	abate#1	other_cos-45.4	"[""abate%2:30:00"",""abate%2:30:01""]"	"[""abate.01""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4
vn34:other_cos-45.4:3a16cb38c9e4089f	abbreviate	abbreviate#1	other_cos-45.4	[]	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4
vn34:resign-10.11-2:e64f6075d81dafed	abdicate	abdicate#1	resign-10.11-2	"[""abdicate%2:41:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:resign-10.11-2
vn34:steal-10.5:053b0dc46003e8b6	abduct	abduct#1	steal-10.5	"[""abduct%2:35:02""]"	"[""abduct.01""]"	"[""Kidnapping""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:steal-10.5
vn34:help-72.1-1-1:37aa21d46b9a5377	abet	abet#1	help-72.1-1-1	"[""abet%2:41:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:help-72.1-1-1
vn34:admire-31.2:30db2c66fe0fbafa	abhor	abhor#1	admire-31.2	"[""abhor%2:37:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:admire-31.2
vn34:abide_by-93.2:8d2f93cdd169d7f3	abide_by	abide-by#1	abide_by-93.2	"[""abide_by%2:41:00""]"	"[""abide.03""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:abide_by-93.2
vn34:contribute-13.2:46e7c382a3e3a6fa	abnegate	abnegate#1	contribute-13.2	"[""abnegate%2:33:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:contribute-13.2
vn34:remove-10.1:85ee09f7a5d44a64	abolish	abolish#1	remove-10.1	"[""abolish%2:41:00""]"	"[""abolish.01""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:remove-10.1
vn34:swarm-47.5.1-2:2d9b5637a109bca3	abound	abound#1	swarm-47.5.1-2	"[""abound%2:42:00"",""abound%2:42:01""]"	"[""abound.01""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:swarm-47.5.1-2
vn34:other_cos-45.4:b1594282b828c1ef	abrade	abrade#1	other_cos-45.4	[]	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4
