action_id	lemma	frame_id	thematic_role	hole_role	requirement	strength	mapping_status	provenance
vn34:weekend-56:3fdd45ad79320eb4	December	weekend-56:frame:5cf43826c31f8cbe	Location	ObjectHole	HasSort Place	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:weekend-56:role:Location:audited-projection-v1
vn34:weekend-56:3fdd45ad79320eb4	December	weekend-56:frame:5cf43826c31f8cbe	Theme	SubjectHole	HasSort Animate	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:weekend-56:role:Theme:audited-projection-v1
vn34:send-11.1-1:8f20128320aab5c8	FedEx	send-11.1-1:frame:eddd0b30c934a124	Destination	ObjectHole	HasSort Animate	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:send-11.1-1:role:Destination:audited-projection-v1
vn34:send-11.1-1:8f20128320aab5c8	FedEx	send-11.1-1:frame:eddd0b30c934a124	Theme	PostVerbHole2	"{""args"":[{""op"":""atom"",""sign"":""+"",""type"":""concrete""}],""op"":""all""}"	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:send-11.1-1:role:Theme:lossless-v1
vn34:send-11.1-1:8f20128320aab5c8	FedEx	send-11.1-1:frame:eddd0b30c934a124	Agent	SubjectHole	AnyOf [HasSort Animate,HasSort Organization]	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:send-11.1-1:role:Agent:audited-projection-v1
vn34:send-11.1-1:58407f39d94930f1	UPS	send-11.1-1:frame:eddd0b30c934a124	Destination	ObjectHole	HasSort Animate	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:send-11.1-1:role:Destination:audited-projection-v1
vn34:send-11.1-1:58407f39d94930f1	UPS	send-11.1-1:frame:eddd0b30c934a124	Theme	PostVerbHole2	"{""args"":[{""op"":""atom"",""sign"":""+"",""type"":""concrete""}],""op"":""all""}"	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:send-11.1-1:role:Theme:lossless-v1
vn34:send-11.1-1:58407f39d94930f1	UPS	send-11.1-1:frame:eddd0b30c934a124	Agent	SubjectHole	AnyOf [HasSort Animate,HasSort Organization]	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:send-11.1-1:role:Agent:audited-projection-v1
vn34:leave-51.2:3bc1cd6b2214850f	abandon	leave-51.2:frame:85ddc3e90b0fbb1b	Source	ObjectHole	AnyOf [HasSort Place,HasSort Animate]	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:leave-51.2:role:Source:audited-projection-v1
vn34:leave-51.2:3bc1cd6b2214850f	abandon	leave-51.2:frame:85ddc3e90b0fbb1b	Destination	PostVerbHole2	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:leave-51.2:role:Destination:lossless-v1
vn34:leave-51.2:3bc1cd6b2214850f	abandon	leave-51.2:frame:85ddc3e90b0fbb1b	Theme	SubjectHole	HasSort Animate	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:leave-51.2:role:Theme:audited-projection-v1
